Flight,Airline,Origin/Destination,Date of departure,Date of arrival,Close contact rows
EK414,Emirates,Dubai/Sydney,8 March 2020,8 March 2020,"6, 7, 8, 911, 12, 13, 14,
  15, 1645, 46, 47, 48, 4958, 59, 60, 61, 62"
QF8414,Qantas,Dubai/Sydney,8 March 2020,8 March 2020,"45, 46, 47, 48, 49"
VA535,Virgin Australia,Sydney/Coolangatta,8 March 2020,8 March 2020,"19, 20, 21, 22, 23"
EK412QF8412,Qantas,Dubai/Sydney,8 March 2020,9 March 2020,"64, 65, 66"
QF40,Qantas,Sapporo New Chitose/Sydney,8 March 2020,10 March 2020,"36, 37, 38, 39, 44"
EK414,Emirates,Dubai/Sydney,9 March 2020,9 March 2020,"55, 56, 57, 58, 59"
TR2,Scoot,Singapore/Sydney,9 March 2020,9 March 2020,"1, 2, 3, 4"
EK412QF8412,Emirates,Dubai/Sydney,9 March 2020,10 March 2020,"56, 57, 58, 59, 60"
EY450,Etihad,Abu Dhabi/Sydney,9 March 2020,10 March 2020,"35, 36, 37, 38, 39"
QF8,Qantas,Dallas/Sydney,9 March 2020,11 March 2020,"3, 4, 5, 12, 13, 14, 1548, 4973, 74, 75, 76, 77"
VA2,Virgin Australia,Los Angeles/Sydney,9 March 2020,11 March 2020,"2, 3, 4, 5, 6"
EY454,Etihad,Abu Dhabi/Sydney,10 March 2020,10 March 2020,"10, 11, 12, 13, 14"
QF2039,Qantas,Dubbo/Sydney,10 March 2020,10 March 2020,"1, 2, 3, 4"
Rex XL852,Rex,Sydney/Dubbo,10 March 2020,10 March 2020,"1, 2, 3, 4"
SQ241,Singapore Airlines,Singapore/Sydney,10 March 2020,10 March 2020,"42, 43, 44, 45, 46"
VA1141,Virgin Australia,Sydney/Ballina,10 March 2020,10 March 2020,"7, 8, 9, 10, 11"
QF12,Qantas,Los Angeles/Sydney,10 March 2020,12 March 2020,"2, 3, 4, 524, 25, 26, 27, 28"
QF424,Qantas,Melbourne/Sydney,11 March 2020,11 March 2020,"1, 2, 3"
BA15,British Airways,Singapore/Sydney,11 March 2020,12 March 2020,"15, 16"
CX101,Cathay Pacific,Hong Kong/Sydney,11 March 2020,12 March 2020,"33, 39, 40, 41, 42"
EY450,Etihad,Abu Dhabi/Sydney,11 March 2020,12 March 2020,"42, 43, 44, 45"
QF2,Qantas,Singapore/Sydney,11 March 2020,12 March 2020,"11, 12, 13, 14, 15"
QF12,Qantas,Los Angeles/Sydney,11 March 2020,13 March 2020,"33, 34, 35, 36"
QR906,Qatar,Doha/Sydney,11 March 2020,12 March 2020,"27, 28, 29"
AA0073,American Airlines,Los Angeles/Sydney,11 March 2020,13 March 2020,TBC
JQ456,Jetstar,Sydney/Ballina,12 March 2020,12 March 2020,"5, 6, 7, 8, 9"
QR908,Qatar,Doha/Sydney,12 March 2020,13 March 2020,TBC
QR906,Qatar,Doha/Sydney,12 March 2020,13 March 2020,"31, 32, 33, 34, 35"
JQ224,Jetstar,Queenstown/Sydney,13 March 2020,13 March 2020,"1, 2, 3"
MH141,Malaysian Airlines,Kuala Lumpur/Sydney,13 March 2020,13 March 2020,"32, 33, 34, 35, 36"
QF434,Qantas,Melbourne/Sydney,13 March 2020,13 March 2020,"1, 2, 3, 4"
VA820,Virgin Australia,Melbourne/Sydney,13 March 2020,13 March 2020,"8, 9, 10, 11, 12"
VA859,Virgin Australia,Sydney/Melbourne,13 March 2020,13 March 2020,"10, 11, 12, 13, 14"
BA15,British Airways,Singapore/Sydney,13 March 2020,14 March 2020,TBC
EK413,Emirates,Dubai/Sydney,13 March 2020,14 March 2020,"16, 17, 18, 19, 20"
EY450,Etihad,Abu Dhabi/Sydney,13 March 2020,14 March 2020,"23, 24, 25, 26, 27"
EY454,Etihad,Abu Dhabi/Sydney,13 March 2020,14 March 2020,"79, 80, 81, 82, 8318, 19, 20, 21, 22"
GA712,Garuda Indonesia,Jakarta/Sydney,13 March 2020,14 March 2020,"41, 42, 43, 44, 45"
QF12,Qantas,San Francisco/Sydney,13 March 2020,15 March 2020,"25, 26, 27, 28, 29"
QF74,Qantas,San Francisco/Sydney,13 March 2020,15 March 2020,"40, 41, 42, 43, 44"
UA839,United Airlines,Los Angeles/Sydney,13 March 2020,15 March 2020,"31, 32, 33, 34, 35"
EK414,Emirates,Dubai/Sydney,14 March 2020,14 March 2020,"52, 53, 54, 55"
QF426,Qantas,Melbourne/Sydney,14 March 2020,14 March 2020,"8, 9, 10, 11, 12"
MH0141,Malaysian Airlines,Kuala Lumpur/Sydney,14 March 2020,14 March 2020,"1, 2, 3"
SQ211,Singapore Airlines,Singapore/Sydney,14 March 2020,14 March 2020,"31, 32, 33"
5J39,Cebu Pacific,Manila/Sydney,14 March 2020,15 March 2020,"49, 50, 51, 52, 53"
EY454,Etihad,Abu Dhabi/Sydney,14 March 2020,15 March 2020,TBC
PR211,Phillippines Airlines,Manila/Sydney,14 March 2020,15 March 2020,"2, 3, 4, 5, 21"
QF2,Qantas,Singapore/Sydney,14 March 2020,15 March 2020,"6, 7, 8, 9, 10"
TG0475,Thai Airways,Bangkok/Sydney,14 March 2020,15 March 2020,"61, 62, 63, 64, 65"
QF12,Qantas,San Francisco/Sydney,14 March 2020,16 March 2020,"11, 12, 13, 14, 15"
QF2,Qantas,London/Sydney(via Singapore),14 March 2020,16 March 2020,"11, 12, 13"
VA24,Virgin Australia,Los Angeles/Sydney,14 March 2020,16 March 2020,"29, 30, 31, 32, 33"
JQ461,Jetstar,Ballina/Sydney,15 March 2020,15 March 2020,"5, 6, 7, 8, 9"
EK414,Emirates,Dubai/Sydney,15 March 2020,15 March 2020,"39, 40, 41, 42, 43"
QF866,Qantas,Sydney/Hamilton Island,15 March 2020,15 March 2020,TBC
EY450,Etihad,Abu Dhabi/Sydney,15 March 2020,16 March 2020,"18, 19, 20, 21, 22, 23"
QF2,Qantas,Singapore/Sydney,15 March 2020,16 March 2020,"75, 76, 77, 78, 79"
QR905,Qatar Airlines,Doha/Sydney,15 March 2020,16 March 2020,"17, 18, 19, 20, 21"
QF8765EK413,Qantas,Christchurch/Sydney,16 March 2020,16 March 2020,"7, 8, 9, 10, 11"
TR12,Scoot,Singapore/Sydney,16 March 2020,16 March 2020,"7, 8, 9, 10, 11"
VA815,Virgin Australia,Melbourne/Sydney,16 March 2020,16 March 2020,"1, 2, 3, 4"
QF2,Qantas,Singapore/Sydney,16 March 2020,17 March 2020,"74, 75, 76, 77"
QF12,Qantas,San Francisco/Sydney,16 March 2020,17 March 2020,"51, 52, 53, 54, 55"
